surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
Anderson,596,Germany,Male,32,3,96709.07,2,0,0,41788.37,0
Herring,623,France,Male,43,1,0.0,2,1,1,146379.3,0
Amechi,601,Spain,Female,44,4,0.0,2,1,0,58561.31,0
Liang,506,Germany,Male,59,8,119152.1,2,1,1,170679.74,0
Chuang,560,Spain,Female,27,7,124995.98,1,1,1,114669.79,0
Salas,790,Spain,Male,37,8,0.0,2,1,1,149418.41,0
Obialo,439,Spain,Female,32,3,138901.61,1,1,0,75685.97,0
Morrice,597,Germany,Female,22,6,101528.61,1,1,0,70529.0,1
Lambert,678,Spain,Female,40,4,113794.22,1,1,0,16618.76,0
Hughes,464,Germany,Female,42,3,85679.25,1,1,1,164104.74,0
Lorenzo,481,France,Female,57,9,0.0,3,1,1,169719.35,1
McGuffog,651,France,Female,56,4,0.0,1,0,0,84383.22,1
Feng,850,France,Male,47,6,0.0,1,1,0,187391.02,1
Garner,687,Germany,Female,41,2,154007.21,1,1,0,158408.23,0
Lucchese,696,France,Male,19,1,110928.51,1,1,1,2766.63,0
Chiemenam,612,Spain,Female,36,5,119799.27,2,1,0,159416.58,0
Revell,586,Spain,Female,57,3,0.0,2,0,1,6057.81,0
Rossi,425,Germany,Male,40,9,166776.6,2,0,1,172646.88,0
Barnet,643,Spain,Male,43,1,0.0,2,1,1,145764.4,0
Kosovich,641,France,Female,37,2,0.0,2,1,0,3939.87,0
Osinachi,795,France,Female,40,2,101891.1,1,1,1,183044.86,0
Olejuru,762,France,Male,35,9,0.0,2,1,1,43075.7,0
Gill,687,France,Female,44,9,0.0,2,0,0,103042.2,1
Toscano,850,Spain,Male,37,4,88141.1,1,1,0,109659.12,0
Jen,753,France,Female,62,6,0.0,2,1,1,136398.9,0
Smith,678,France,Female,49,3,204510.94,1,0,1,738.88,1
Douglas,578,Germany,Male,34,8,147487.23,2,1,0,66680.77,0
Mazzi,825,France,Male,29,3,148874.01,2,0,1,71192.82,0
Wei,696,Spain,Female,30,0,0.0,2,1,1,9002.8,0
Chu,457,France,Male,40,10,134320.23,2,1,0,150757.35,0
Ts'ai,680,France,Female,30,8,141441.75,1,1,1,16278.97,0
Hsu,819,France,Female,38,10,0.0,2,1,0,30498.7,0
Chinwemma,510,France,Female,45,10,103821.47,2,0,1,77878.62,0
He,567,France,Male,36,1,0.0,2,0,0,8555.73,0
Birch,638,Spain,Male,34,5,146679.77,1,1,0,102179.86,0
Ch'iu,579,Spain,Male,56,4,99340.83,1,0,0,4523.74,1
Kirsova,715,Germany,Female,37,9,105489.31,1,0,0,143096.49,1
Morrison,587,Spain,Female,34,1,0.0,2,1,1,97932.68,0
Ch'iu,711,Spain,Male,38,3,128718.78,1,0,0,114793.45,0
O'Brien,741,France,Female,36,3,0.0,2,1,1,89804.83,0
Merrett,688,France,Male,38,7,148045.68,1,1,0,175479.92,1
Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
Lilly,567,France,Male,36,7,0.0,2,0,1,3896.08,0
Lamb,440,France,Male,42,2,0.0,2,1,0,49826.68,0
Mironova,741,France,Male,42,6,106036.52,1,1,0,194686.78,1
Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
Waring,613,France,Male,26,4,100446.57,1,0,1,149653.81,0
Docherty,692,Germany,Female,43,2,69014.49,2,0,0,164621.43,0
Holt,521,France,Male,38,5,110641.18,1,0,1,136507.69,1
Yuan,759,Spain,Female,35,7,147936.42,1,1,1,106785.7,0
Palerma,715,Germany,Male,42,2,88120.97,2,1,1,21333.22,0
Williams,711,France,Female,39,3,152462.79,1,1,0,90305.97,0
Swanson,554,France,Female,44,6,92436.86,1,1,0,126033.9,0
Taylor,651,Germany,Male,35,8,110067.71,1,1,0,127678.95,1
Moretti,495,Spain,Female,45,3,89158.94,3,1,0,135169.76,1
Watkins,805,France,Male,39,2,0.0,1,0,0,166650.32,0
Baldwin,829,Spain,Female,26,8,101440.36,2,1,1,19324.5,0
Nicholson,583,France,Female,40,4,55776.39,2,1,0,26920.43,0
Nkemjika,686,France,Female,43,0,0.0,1,1,1,170072.9,0
Tuan,505,Germany,Male,40,6,47869.69,2,1,1,155061.97,0
She,528,France,Male,30,2,128262.72,2,1,0,50771.16,0
Lumholtz,677,Spain,Female,34,4,0.0,2,1,1,6175.53,0
Nebechi,660,Germany,Female,37,2,133200.09,1,0,0,71433.88,0
Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
